"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Valida se a tentativa de listar um produto com ID inválido retorna o erro correto","149","testAssertTentaListarProdutoIDInvalido","Surefire suite","Wed Feb 19 17:44:02 GMT 2025","passed","Wed Feb 19 17:44:02 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testAssertTentaListarProdutoIDInvalido"
"Valida se um produto pode ser listado corretamente com ID válido","151","testAssertDeveListarProdutoIDValido","Surefire suite","Wed Feb 19 17:44:01 GMT 2025","passed","Wed Feb 19 17:44:01 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testAssertDeveListarProdutoIDValido"
"Valida se os usuários podem ser listados corretamente ao consultar por email","565","testDeveListarUsuariosPorEmailComSucesso","Surefire suite","Wed Feb 19 17:44:02 GMT 2025","passed","Wed Feb 19 17:44:03 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testDeveListarUsuariosPorEmailComSucesso"
"Valida se o schema de resposta ao listar usuários por ID está correto","207","testSchemaListarUsuariosPorIDComSucesso","Surefire suite","Wed Feb 19 17:43:36 GMT 2025","passed","Wed Feb 19 17:43:36 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testSchemaListarUsuariosPorIDComSucesso"
"Valida se os dados do usuário podem ser recuperados corretamente ao consultar por ID","310","testDeveListarUsuariosPorIDComSucesso","Surefire suite","Wed Feb 19 17:44:03 GMT 2025","passed","Wed Feb 19 17:44:03 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testDeveListarUsuariosPorIDComSucesso"
"Valida se o schema de resposta ao listar usuários por email está correto","392","testSchemaListarUsuariosPorEmailComSucesso","Surefire suite","Wed Feb 19 17:43:35 GMT 2025","passed","Wed Feb 19 17:43:36 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testSchemaListarUsuariosPorEmailComSucesso"
"Valida se um depósito é realizado corretamente com dados válidos","779","testAssertDeveListarProdutosCadastrados","Surefire suite","Wed Feb 19 17:44:01 GMT 2025","passed","Wed Feb 19 17:44:02 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testAssertDeveListarProdutosCadastrados"
"Valida se ao tentar listar um usuário com ID inválido, a resposta contém a mensagem de erro correta","104","testTentarListarUsuariosPorIDInexistente","Surefire suite","Wed Feb 19 17:44:03 GMT 2025","passed","Wed Feb 19 17:44:03 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testTentarListarUsuariosPorIDInexistente"
"Valida se o produto é cadastrado corretamente com dados válidos e schema esperado","2438","testeSchemaDeveCadastrarProdutoValido","Surefire suite","Wed Feb 19 17:43:33 GMT 2025","passed","Wed Feb 19 17:43:35 GMT 2025","com.vemser.rest.tests.usuarios.PostProdutoTest","Surefire test","com.vemser.rest.tests.usuarios.PostProdutoTest","testeSchemaDeveCadastrarProdutoValido"
"Valida se o schema de produto por ID está correto","111","testSchemaDeveListarProdutoIDValido","Surefire suite","Wed Feb 19 17:43:35 GMT 2025","passed","Wed Feb 19 17:43:35 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testSchemaDeveListarProdutoIDValido"
"Valida se ao tentar listar usuários com um email inválido, a resposta contém a mensagem de erro correta","120","testTentarListarUsuariosPorEmailInvalido","Surefire suite","Wed Feb 19 17:44:03 GMT 2025","passed","Wed Feb 19 17:44:03 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testTentarListarUsuariosPorEmailInvalido"
"Valida se o produto é cadastrado corretamente com dados válidos","2406","testeDeveCadastrarProdutoValido","Surefire suite","Wed Feb 19 17:43:59 GMT 2025","passed","Wed Feb 19 17:44:01 GMT 2025","com.vemser.rest.tests.usuarios.PostProdutoTest","Surefire test","com.vemser.rest.tests.usuarios.PostProdutoTest","testeDeveCadastrarProdutoValido"
